id,title,category,facts,decision_summary,court,year,provisions
11,"By a notification dated November 2, 1864, a piece of land forming part of the Pa",police_related,"By a notification dated November 2, 1864, a piece of land forming part of the Panchannagram Estate which was permanently settled under Regulation 1 of 1793, was acquired by the Government of Bengal at the instance of the justices of the Peace for the Town of Calcutta, which was a corporation established under the provisions of the Calcutta Municipal Act, 1863, and the justices were required to pay the compensation payable to the proprietor of the Estate. After the acquisition, the proprietor of the Estate was granted abatement of land revenue assessed on the Estate to the extent of Rs.","386 7 1, being the proportionate land revenue on the land acquired. On October 27, i865, the Government called upon the justices to pay a sum of Rs. 7,728 13 8, which represented the amount capitalised at 20 years ' purchase of land revenue attributed to the area acquired. On December 5, i870, the Secretary of State executed in favour of the justices of the Peace a conveyance of the land acquired, which stated, inter alia, that it was ""ever free and clear and for ever discharged from all Government land revenue whatever or any payment or charge in the nature thereof to the end and intent that the said land may be used for a public purpose, namely, for the conservancy of the town."" On January 23, 1880, a lease of the land was granted by the Justices to the predecessors in title of the appellant, under which the lessee had the right to carry on cultivation with the aid of sewage. Before the income tax authorities the appellant claimed that the agricultural income derived by him from the land was not liable to income tax, but the claim was rejected on the ground that on the payment of a lump sum in 1865 the liability to pay land revenue was redeemed and no land revenue was demanded thereafter; consequently, the income derived from the land was not agricultural income within the meaning of section 2(1) of the Indian Income tax Act, 1922, and was not, therefore, exempt from tax. The appellant 's contention was that the redemption only saved the justices from liability for payment but did not affect the assessability of the land to revenue under Regulation 1 of 1793. 599 Held, that by the down payment of a lump sum in 1865 the entire land revenue to be recovered from the land was redeemed and the land became free from land revenue assessment in perpetuity, as completely as if there was no assessment. Thereafter, the land could not be said to be assessed to land revenue within the meaning of section 2(1) of the Indian Income tax Act, 1922, and, consequently, the income derived therefrom could not be considered to be agricultural income under that section. The Collector of Bombay vs Nusserwanji Rattanji Mistri and others; , , distinguished.",,1957,
12,The first appellant No.,police_related,"The first appellant No. 1 sent a consignment of mustard oil in a tank wagon from Firozabad, U.","P. to itself at Calcutta where it took delivery of the wagon from the railway authorities. The Food Inspector took samples of the oil from the wagon which on analysis were found to be adulterated. The appellants were prosecuted under section 462 of the Calcutta Municipal Act, 951 for storing adulterated mustard oil for sale. The 665 appellants contended that the presumption under sub section
(4) of section 462 that the mustard oil was stored for sale was rebutted in view of certain arrangements between the U. P. Oil Millers Association and the Deputy Commissioner of Police and of a letter written by the appellants to the Association asking that a sample may be taken and tested so that the appellants ""may take the delivery of oil only if it is found pure on analysis. "" Held, that this was not sufficient to rebut the presumption '. that the oil was stored for sale. The letter did not say that the oil would not be sold; it was not stated as to what would be done if the oil was found to be impure. There was no arrangement between the Association and the Corporation which was the sole authority to take action. The arrangement and the letter were a device to make detection difficult.",,1959,
13,The appellant firm imported dates from abroad partly by steamer and partly by co,police_related,The appellant firm imported dates from abroad partly by steamer and partly by country craft. At the relevant time import of dates by steamers had been prohibited by Government (1) [1945] 1 3 I.T.R.,"Supp. (2) ; 652 notification, and the consignments which were imported by steamer were, therefore, confiscated by the customs authorities under section 167, item 8, of the Sea Customs Act, i878, but under section 183 of the Act the appellant was given an option to pay Rs. 82,250 as penalty in lieu of confiscation. The appellant paid the amount and got the dates released. Before the Income tax authorities it claimed to deduct the amount paid as penalty as an allowable expenditure under section 1O(2)(XV) of the Indian Income tax Act, 1922, but the claim was rejected. It was contended that the order of confiscation was against the stock in trade and not against the person of the appellant firm and as the amount paid was expended for the release of the stock in trade, it was an allowable expenditure. Held, that the amount paid by the appellant by way of penalty for a breach of the law could not be considered to be an expenditure laid out wholly and exclusively for the purpose of the business and was not an allowable deduction under section 1O(2) (xv) of the Indian Income tax Act, 1922. Expenses which are permitted as deductions are such as are made in order to enable a person to carry on and earn profit in the business. It is not enough that the disbursements are made in the course of or arise out of or are concerned with or made out of the profits of the business but they must also be for the purpose of earning the profits of the business. An expenditure is not deductible unless it is a commercial loss in trade and a penalty imposed for breach of the law during the course of trade cannot on grounds of public policy be said to be a commercial expense for the purpose of a business or disbursement made for the purpose of earning the profits of such business. Case law reviewed.",,1957,
14,The appellant firm imported dates from abroad partly by steamer and partly by co,police_related,The appellant firm imported dates from abroad partly by steamer and partly by country craft. At the relevant time import of dates by steamers had been prohibited by Government (1) [1945] 1 3 I.T.R.,"Supp. (2) ; 652 notification, and the consignments which were imported by steamer were, therefore, confiscated by the customs authorities under section 167, item 8, of the Sea Customs Act, i878, but under section 183 of the Act the appellant was given an option to pay Rs. 82,250 as penalty in lieu of confiscation. The appellant paid the amount and got the dates released. Before the Income tax authorities it claimed to deduct the amount paid as penalty as an allowable expenditure under section 1O(2)(XV) of the Indian Income tax Act, 1922, but the claim was rejected. It was contended that the order of confiscation was against the stock in trade and not against the person of the appellant firm and as the amount paid was expended for the release of the stock in trade, it was an allowable expenditure. Held, that the amount paid by the appellant by way of penalty for a breach of the law could not be considered to be an expenditure laid out wholly and exclusively for the purpose of the business and was not an allowable deduction under section 1O(2) (xv) of the Indian Income tax Act, 1922. Expenses which are permitted as deductions are such as are made in order to enable a person to carry on and earn profit in the business. It is not enough that the disbursements are made in the course of or arise out of or are concerned with or made out of the profits of the business but they must also be for the purpose of earning the profits of the business. An expenditure is not deductible unless it is a commercial loss in trade and a penalty imposed for breach of the law during the course of trade cannot on grounds of public policy be said to be a commercial expense for the purpose of a business or disbursement made for the purpose of earning the profits of such business. Case law reviewed.",,1957,
15,For the purposes of its business the respondent borrowed a certain sum of money ,police_related,For the purposes of its business the respondent borrowed a certain sum of money from the Bank of India on a pronote executed jointly by him and one Kishorilal in accordance with a commercial practice of carrying on business by borrowing money from Banks on joint and several liability. The money was divided half and half between the respondent and Kishorilal but Kishorilal failed to pay off his liability as he became a bankrupt and the respondent had to pay the whole amount to the Bank.,"The respondent, however, received from the Official Assignee a part of the sum taken by the Kishorilal leaving a balance still unpaid. The respondent 's claim to deduct this unpaid balance under section 10(2)(XV) of the Income tax Act was refused by the Income tax Officer and the Appellate Assistant Commissioner but was allowed by the Income tax Appellate Tribunal on appeal. On a reference made at the instance of the appellant the High Court decided the question in favour of the respondent assessee. On appeal by the appellant by special leave, Held, that the view taken by the High Court was correct. On the finding that there was a well establised Commercial practice of financing business by borrowing money on joint and several liability and by so doing the respondent could borrow at a lower rate of interest, and that there was mutuality between the borrowers for standing surety for each other for loans taken for business purposes, the respondent assessee in computing his business profits was entitled to deduct the loss suffered by him in paying the sum not paid by his co borrower. Commissioner of Income tax vs Ramaswami Chettiar, , applied. Madan Gopal Bagla vs Commissioner of Income tax, West Bengal, ; , Commissioner or Income tax vs section R. Subramanya Pillai, distinguished. Montreal Coke and Manufacturing Co. vs Minister of National Revenue, [1945] 13 I.T.R. Supp. 1, not applicable.",,1958,
16,A consent decree was passed against the assessee awarding maintenance to his wif,police_related,A consent decree was passed against the assessee awarding maintenance to his wife and children. The decree did not create any charge upon the income of the assessee.,"The assessee claimed in the assessment of income tax deduction of the amount paid under the decree from his total income. Held, that the assessee was not entitled to the deduction. Where by the obligation income was diverted by an overriding title before it reached the assessee, it was deductible; but where the income was required to be applied to discharge an obligation after such income reached the assessee, it was not deductible. The true test was whether the amount sought to be deducted, in truth, never reached the assessee as his income. In the present case, the wife and children of the assessee received a portion of the income of the assessee, after the assessee had received the income as his own. Bejoy Singh Dudhuria vs Commissioner of Income tax, (1933) I I.T.R. 135, not applicable. P. C. Mullick vs Commissioner of Income tax, Bengal, , applied. Diwan Kishen Kishore vs Commissioner of Income tax, , Seth Motilal Menekchand vs Commissioner of Income tax, , Prince Khanderao Gaekway vs Commissioner of Income tax, , Commissioner of Income tax, Bombay vs Makanji Lalji, , Commissioner of Income tax, Bombay V. D. R. Naik, , D. C. Aich, It; re, , Hira Lal, In re, and V. M. Raghavalu Naidu & Sons vs Commissioner of Income tax, , referred to",,1959,
17,The respondent was posted as officer incharge of a police station when complaint,police_related,The respondent was posted as officer incharge of a police station when complaints were received by the District Magis trate that the respondent was receiving bribes. The District Magistrate got an enquiry made by the Sub Divisional Magistrate and forwarded the report toghether with his own endorsement to the Superintendent of Police.,"The respondent was forced to go on 2 months leave and was reverted to his substantive post of Head Constable, but later he was promoted to the rank of officiating Sub Inspector and posted at another police station. Meanwhile on further complaints an investigation was made and it was reported that the respondent was a habitual bribe taker. He was charged under section 7 Police Act for 9 charges of bribery and after departmental trial was dismissed by the Superintendent of Police. He filed a Writ Petition before the High court challenging the order of dismissal inter alia on the ground that the offences charged being cognizable offences the Superintendent of Police had no jurisdiction to hold the departmental trial without first complying with the provisions of para. 486(1) of the U. P. Police Regulations. The High Court accepted this contention and quashed the order of dismissal. 673 Held (per Sarkar, Subba Rao and Mudholkar, JJ.) that the subject matter of the magisterial enquiry and of the depart mental trial was substantially the same and that the depart 'I mental trial was validly held. The fact that there was an interregnum between the magisterial enquiry and the departmental trial did not affect the question. Paragraph 486 did not apply to a case where a magisterial enquiry was ordered and a police officer could be departmentally tried under section 7 Police Act after such magisterial enquiry. Per Gajendragadkar and Wanchoo, JJ. The provisions of para. 486 were merely directory and even if there was non compliance therewith the order of dismissal was not invalidated.",,1959,
18,A consent decree was passed against the assessee awarding maintenance to his wif,police_related,A consent decree was passed against the assessee awarding maintenance to his wife and children. The decree did not create any charge upon the income of the assessee.,"The assessee claimed in the assessment of income tax deduction of the amount paid under the decree from his total income. Held, that the assessee was not entitled to the deduction. Where by the obligation income was diverted by an overriding title before it reached the assessee, it was deductible; but where the income was required to be applied to discharge an obligation after such income reached the assessee, it was not deductible. The true test was whether the amount sought to be deducted, in truth, never reached the assessee as his income. In the present case, the wife and children of the assessee received a portion of the income of the assessee, after the assessee had received the income as his own. Bejoy Singh Dudhuria vs Commissioner of Income tax, (1933) I I.T.R. 135, not applicable. P. C. Mullick vs Commissioner of Income tax, Bengal, , applied. Diwan Kishen Kishore vs Commissioner of Income tax, , Seth Motilal Menekchand vs Commissioner of Income tax, , Prince Khanderao Gaekway vs Commissioner of Income tax, , Commissioner of Income tax, Bombay vs Makanji Lalji, , Commissioner of Income tax, Bombay V. D. R. Naik, , D. C. Aich, It; re, , Hira Lal, In re, and V. M. Raghavalu Naidu & Sons vs Commissioner of Income tax, , referred to",,1959,
19,Section 4 (1) (a)of the Indian Press (Emergency Pow ers) Act (XXIII of 1931) is ,police_related,Section 4 (1) (a)of the Indian Press (Emergency Pow ers) Act (XXIII of 1931) is not unconstitutional as the restrictions imposed on freedom of speech and expression by the said section are solely directed against the undermining of the security of the State or the overthrow of it and are within the ambit of article 19(2) of the Constitution. Romesh Thapar 's case ([1950] 655 S.C.R.,"594]) and Brij Bhushan 's case ([1950] S.C.R. 605)do not lay down any wide proposition that restrictions of the nature imposed by section 4 (1) (a) are outside the scope of article 19 (2) as they are conceived generally in the interests of public order. At any rate, the amendment made to article 19 (2) by the Constitution (First Amendment) Act which is retro spective in operation makes the matter clear. In order to determine whether a particular document falls within the ambit of section 4(1) the writing has to be considered as a whole in a fair, free and liberal spirit, not dwelling too much on isolated passages or upon a strong word here and there, and an endeavour should be made to gather the general effect which the whole composition would have on the minds of the public. Expressions which are the stock in trade of political demagogues and have no tenden cy to excite anybody, and exaggerations in language, cannot lead to that result. Rhetoric of this kind might in con ceivable circumstances inflame passions, as for example, if addressed to an excited mob, but if such circumstances exist it is for the Government to establish the fact.",,1951,
20,For the purposes of its business the respondent borrowed a certain sum of money ,police_related,For the purposes of its business the respondent borrowed a certain sum of money from the Bank of India on a pronote executed jointly by him and one Kishorilal in accordance with a commercial practice of carrying on business by borrowing money from Banks on joint and several liability. The money was divided half and half between the respondent and Kishorilal but Kishorilal failed to pay off his liability as he became a bankrupt and the respondent had to pay the whole amount to the Bank.,"The respondent, however, received from the Official Assignee a part of the sum taken by the Kishorilal leaving a balance still unpaid. The respondent 's claim to deduct this unpaid balance under section 10(2)(XV) of the Income tax Act was refused by the Income tax Officer and the Appellate Assistant Commissioner but was allowed by the Income tax Appellate Tribunal on appeal. On a reference made at the instance of the appellant the High Court decided the question in favour of the respondent assessee. On appeal by the appellant by special leave, Held, that the view taken by the High Court was correct. On the finding that there was a well establised Commercial practice of financing business by borrowing money on joint and several liability and by so doing the respondent could borrow at a lower rate of interest, and that there was mutuality between the borrowers for standing surety for each other for loans taken for business purposes, the respondent assessee in computing his business profits was entitled to deduct the loss suffered by him in paying the sum not paid by his co borrower. Commissioner of Income tax vs Ramaswami Chettiar, , applied. Madan Gopal Bagla vs Commissioner of Income tax, West Bengal, ; , Commissioner or Income tax vs section R. Subramanya Pillai, distinguished. Montreal Coke and Manufacturing Co. vs Minister of National Revenue, [1945] 13 I.T.R. Supp. 1, not applicable.",,1958,
21,The respondent was posted as officer incharge of a police station when complaint,police_related,The respondent was posted as officer incharge of a police station when complaints were received by the District Magis trate that the respondent was receiving bribes. The District Magistrate got an enquiry made by the Sub Divisional Magistrate and forwarded the report toghether with his own endorsement to the Superintendent of Police.,"The respondent was forced to go on 2 months leave and was reverted to his substantive post of Head Constable, but later he was promoted to the rank of officiating Sub Inspector and posted at another police station. Meanwhile on further complaints an investigation was made and it was reported that the respondent was a habitual bribe taker. He was charged under section 7 Police Act for 9 charges of bribery and after departmental trial was dismissed by the Superintendent of Police. He filed a Writ Petition before the High court challenging the order of dismissal inter alia on the ground that the offences charged being cognizable offences the Superintendent of Police had no jurisdiction to hold the departmental trial without first complying with the provisions of para. 486(1) of the U. P. Police Regulations. The High Court accepted this contention and quashed the order of dismissal. 673 Held (per Sarkar, Subba Rao and Mudholkar, JJ.) that the subject matter of the magisterial enquiry and of the depart mental trial was substantially the same and that the depart 'I mental trial was validly held. The fact that there was an interregnum between the magisterial enquiry and the departmental trial did not affect the question. Paragraph 486 did not apply to a case where a magisterial enquiry was ordered and a police officer could be departmentally tried under section 7 Police Act after such magisterial enquiry. Per Gajendragadkar and Wanchoo, JJ. The provisions of para. 486 were merely directory and even if there was non compliance therewith the order of dismissal was not invalidated.",,1959,
22,The respondent was a sub Inspector of Police.,police_related,The respondent was a sub Inspector of Police. A complaint was received by the Superintendent of Police that the com plainant was carrying currency notes of Rs.,"650 in a bundle when he was stopped by the respondent and his person was searched, that the respondent opened the bundle of notes and handed over the notes one by one to one Lalji, who was with him and that Lalji returned the notes to him but on reaching home he found the notes short by Rs. 250. Proceedings under section 7 of the Police Act were taken against the respondent on the charge of misappropriation of Rs. 250 and he was dismissed from service by an order of the Deputy Inspector General of Police. The respondent filed a writ petition before the High Court challenging the order of the dismissal on the ground that the authorities had acted in violation of Rule I of Para. 486 of the U. P. Police Regulation. This rule required that every information received by the police relating to the commission of a cognizable offence by a Police Officer shall be dealt with in the first place under Ch. XIV, Code of Criminal Procedure. The High Court held that the provisions of para. 486 of the Police Regulations had not been observed and that the proceedings taken under section 7 of the Police Act were invalid and illegal and accordingly quashed the order of dismissal. The appellant contended (i) that the complaint did not make out any cognizable offence against the respondent and r. I of Para. 486 was not applicable in this case, (ii) that r. III of Para. 486 enabled the authorities to initiate departmental proceedings without complying with the provisions of r. I, (iii) that the Police Regulations made in exercise of the power conferred on the Government under the Police Act delegating the power of the Governor to dismiss at pleasure to a subordinate officer were only administrative directions for the exercise of the pleasure in a reasonable manner and any breach of the regulations did not confer any right or give a cause of action to the public servant, and (iv) that the regulations were only directory and the non compliance with the rules did not invalidate the order of dismissal. 680 Held, (per Sarkar, Subba Rao and Mudholkar, JJ.) that the order of dismissal was illegal as it was based upon an enquiry held in violation of r. I of Para 486 of the Police Regulations. The facts alleged in the complaint made out a cognizable offence under section 405 Indian Penal Code against the respondent, and the provisions of r. I of Para . 486 were applicable to it. A Police Officer making a search of a person was 'entrusted ' with the money handed over by the person searched. Rule III of Para. 486 did not deal with cognizable offences, it dealt with offences falling only under section 7 Police Act and to non cognizable offences. Rule III did not provide an alternative procedure to that prescribed under r. I. The position with regard to the tenure of public servants and to the taking of disciplinary action against them under the present Constitution was as follows: (i) Every person who was a member of a public service described in article 310 of the Constitution held office during the pleasure of the President or the Governor. (ii) The power to dismiss a public servant at pleasure was outside the scope of article I54 and, therefore, could not be delegated by the Governor to a subordinate officer, and could be exercised by him only in the manner prescribed by the Constitution. (iii) This tenure was subject to the limitations or qualifi cations mentioned in article 311. (iv )Parliament or the Legislature of States could not make a law abrogating or modifying this tenure so as to impinge upon the overriding power conferred upon the President or the Governor under article 310, as qualified by article 311. (v) Parliament or the Legislatures of States could make a law regulating the conditions of service of such a member which included proceedings by way of disciplinary action, without affecting the powers of the President or the Governor under article 310 read with article 311. (vi) Parliament and the Legislatures also could makea law laying down and regulating the scope and content of the doctrine of ""reasonable opportunity"" embodied in article 311 but the said law was subject to judicial review. (vii) If a statute could be made by Legislatures within the foregoing permissible limits, the rules made by an authority in exercise of the power conferred thereunder would likewise be efficacious within the said limits. N. W. F. Province vs Suraj Narain, A.I.R. 1949 P. C. 112, Shenton vs Smith, , Gould vs Stuart, , Reilly vs The King, , Terrell vs Secretary of State, , State of Bihar vs Abdul Majid; , , Parshotam Lal Dhingra vs Union of India, , R. T. Rangachari vs Secretary of State for India, (1936) L.R. 64 I.A. 40 and High Commissioner for India and High Commissioner for Pakistan vs I. M. Lall, (1948) L.R. 75 I.A. 225, referred to. The Police Act and the rules made thereunder constituted a self contained code providing for the appointment of police officers and prescribing the procedure for their removal. Any authority taking action under the Police Act or the rules made thereunder must conform to the provisions thereof and if there was any violation of those provisions the public servant had a right to challenge the order of the authority if the rules were mandatory Paragraph 486 of the Police Regulations was mandatory and not directory. The rules were made in the interests of both the department and the police officers. The word used in para 486 was ""shall"" and in the context it could not be read as ""may"". Hari Vishnu Kamath vs Syed Ahmed Ishaque, , State of U. P. vs Manbodhan Lal Srivastava, [1958] S.C.R. 533 and Montreal Street Railway Company v Noymandin, L.R. ; , referred to. Subject to the overriding power of the President or the Governor under article 310, as qualified by article 311, rules governing disciplinary proceeding could not be treated as administrative directions, but had the same effect as the provisions of the statute whereunder they were made, in so far as they were not inconsistent with the provisions thereof. The Governor did not exercise his pleasure through the officers specified in section 7 of the Police Act, and the Governor 's pleasure. could not be equated with the statutory power of the officers specified An inquiry under the Act had to be made in accordance with the provisions of the Act and the rules made thereunder. R. T. Rangachari vs Secretary of State for India, L.R. 64 I.A. 40, High Commissioner for India and High Commissioner for Pakistan vs I. M. Lall, (1948) L.R. 75 I.A. 225, R. Venkata Rao vs Secretary of State for India, (1936) L.R. 64 I.A. 55, section A. Venkataraman V. Union of India, [1954] S.C.R. 1150 and Khem Chand vs The Union of India, [1958] S.C.R. 1080, referred to. Per Gajendragadkar and Wanchoo, JJ. The provisions of para 486 were merely directory and a non compliance therewith did not invalidate the disciplinary action taken against the respondent. All public servants, other than those excepted expressly by the Constitution, held office during the pleasure of the President or the Governor, and no law or rule framed under article 300 or article I54(2)(b) could cut down the content of the pleasure tenure in article 310 subject to article 31i. The Police Act could not stand higher than a law passed under article 309 or article 154(2)(b) and could not cut down the content of the pleasure tenure in article 310 682 The Police officers held office during the pleasure of the Governor and the only protection they could claim was the two guarantees contained in article 311. The rules framed under section 7 Police Act would be of two kinds, namely (1) those which defined the jurisdiction of the four grades of officers specified in section 7 to inflict particular kind of punishment on particular police officers of the subordinate ranks such rules would be mandatory but they could not go against the provisions of article 311, and (2) procedural rules. The procedural rules could be of two kinds: (i) those that prescribed the manner in which the guarantee contained in article 311(2) May be carried out such rules would be mandatory, and (ii) other merely procedural rules they could only be directory. The power of the Governor to dismiss was executive power of the State and could be exercised under article 154(i) by the Governor himself directly or indirectly through officers subordinate to him. The officers specified in section 7 of the Police Act were exercising the powers of the Governor to dismiss at pleasure and their powers were subject to the same limitations to which the Governor was subject. Whether it was delegation by the Governor himself or whether it was delegation by law under article 154(2)(b) or by the existing law, which must be treated as analogous to a law under article 154(2)(b), the officer exercising the power of dismissal was only indirectly exercising the Governor 's power to dismiss at pleasure. His order also was subject to the two fetters under article 311 and could not be subjected to any more fetters by procedural rules other than those framed for carrying out the objects of article 311(2). R. Venkata Rao vs Secretary of State for India in Council, [1936] 64 I.A. 55, referred to. Paragraph 486 was not meant for the purpose of carrying out the object of article 311(2) and could not be mandatory and could not add a further fetter on the exercise of the power to dismiss at the pleasure of the Governor over and above the fetters contained in article 311. This rule was only meant to gather materials for the satisfaction of the authority concerned, whether to take action or not. As such para 486 was merely directory and a failure to comply therewith strictly or otherwise did not vitiate the disciplinary action.",,1959,
23,"One Sharda Singh, respondent, who was an employee of the appellant mills was dis",police_related,"One Sharda Singh, respondent, who was an employee of the appellant mills was dismissed for disobeying the orders of the managing authority. He filed an application before the Industrial tribunal under section 33 A of the , contesting his dismissal on various grounds, whereupon the tribunal passed an order to the effect that as an interim measure the respondent be permitted to work in the appellant mills and if the management failed to take him back his full wages be paid from the date he reported for duty.","The appellant mills then filed a Writ Petition before the High Court contesting the interim order of the Tribunal and the High Court held that the interim relief granted to the respondent was justified. On appeal by a certificate of the High Court, Held, that the interim order passed by the tribunal reinsta ting the respondent was erroneous. Such an interim relief could not be given by the Tribunal as it would amount to prejudging the respondents ' case and granting him the whole relief at the outset without deciding the legality of his dismissal after hearing the appellant employer. The Management, Hotel Imperial and Ors. vs Hotel Workers ' Union, ; , and Punjab National Bank vs All India Punjab National Bank Employees ' Federation, A.I.R. , referred to.",,1959,
24,The respondent was a sub Inspector of Police.,police_related,The respondent was a sub Inspector of Police. A complaint was received by the Superintendent of Police that the com plainant was carrying currency notes of Rs.,"650 in a bundle when he was stopped by the respondent and his person was searched, that the respondent opened the bundle of notes and handed over the notes one by one to one Lalji, who was with him and that Lalji returned the notes to him but on reaching home he found the notes short by Rs. 250. Proceedings under section 7 of the Police Act were taken against the respondent on the charge of misappropriation of Rs. 250 and he was dismissed from service by an order of the Deputy Inspector General of Police. The respondent filed a writ petition before the High Court challenging the order of the dismissal on the ground that the authorities had acted in violation of Rule I of Para. 486 of the U. P. Police Regulation. This rule required that every information received by the police relating to the commission of a cognizable offence by a Police Officer shall be dealt with in the first place under Ch. XIV, Code of Criminal Procedure. The High Court held that the provisions of para. 486 of the Police Regulations had not been observed and that the proceedings taken under section 7 of the Police Act were invalid and illegal and accordingly quashed the order of dismissal. The appellant contended (i) that the complaint did not make out any cognizable offence against the respondent and r. I of Para. 486 was not applicable in this case, (ii) that r. III of Para. 486 enabled the authorities to initiate departmental proceedings without complying with the provisions of r. I, (iii) that the Police Regulations made in exercise of the power conferred on the Government under the Police Act delegating the power of the Governor to dismiss at pleasure to a subordinate officer were only administrative directions for the exercise of the pleasure in a reasonable manner and any breach of the regulations did not confer any right or give a cause of action to the public servant, and (iv) that the regulations were only directory and the non compliance with the rules did not invalidate the order of dismissal. 680 Held, (per Sarkar, Subba Rao and Mudholkar, JJ.) that the order of dismissal was illegal as it was based upon an enquiry held in violation of r. I of Para 486 of the Police Regulations. The facts alleged in the complaint made out a cognizable offence under section 405 Indian Penal Code against the respondent, and the provisions of r. I of Para . 486 were applicable to it. A Police Officer making a search of a person was 'entrusted ' with the money handed over by the person searched. Rule III of Para. 486 did not deal with cognizable offences, it dealt with offences falling only under section 7 Police Act and to non cognizable offences. Rule III did not provide an alternative procedure to that prescribed under r. I. The position with regard to the tenure of public servants and to the taking of disciplinary action against them under the present Constitution was as follows: (i) Every person who was a member of a public service described in article 310 of the Constitution held office during the pleasure of the President or the Governor. (ii) The power to dismiss a public servant at pleasure was outside the scope of article I54 and, therefore, could not be delegated by the Governor to a subordinate officer, and could be exercised by him only in the manner prescribed by the Constitution. (iii) This tenure was subject to the limitations or qualifi cations mentioned in article 311. (iv )Parliament or the Legislature of States could not make a law abrogating or modifying this tenure so as to impinge upon the overriding power conferred upon the President or the Governor under article 310, as qualified by article 311. (v) Parliament or the Legislatures of States could make a law regulating the conditions of service of such a member which included proceedings by way of disciplinary action, without affecting the powers of the President or the Governor under article 310 read with article 311. (vi) Parliament and the Legislatures also could makea law laying down and regulating the scope and content of the doctrine of ""reasonable opportunity"" embodied in article 311 but the said law was subject to judicial review. (vii) If a statute could be made by Legislatures within the foregoing permissible limits, the rules made by an authority in exercise of the power conferred thereunder would likewise be efficacious within the said limits. N. W. F. Province vs Suraj Narain, A.I.R. 1949 P. C. 112, Shenton vs Smith, , Gould vs Stuart, , Reilly vs The King, , Terrell vs Secretary of State, , State of Bihar vs Abdul Majid; , , Parshotam Lal Dhingra vs Union of India, , R. T. Rangachari vs Secretary of State for India, (1936) L.R. 64 I.A. 40 and High Commissioner for India and High Commissioner for Pakistan vs I. M. Lall, (1948) L.R. 75 I.A. 225, referred to. The Police Act and the rules made thereunder constituted a self contained code providing for the appointment of police officers and prescribing the procedure for their removal. Any authority taking action under the Police Act or the rules made thereunder must conform to the provisions thereof and if there was any violation of those provisions the public servant had a right to challenge the order of the authority if the rules were mandatory Paragraph 486 of the Police Regulations was mandatory and not directory. The rules were made in the interests of both the department and the police officers. The word used in para 486 was ""shall"" and in the context it could not be read as ""may"". Hari Vishnu Kamath vs Syed Ahmed Ishaque, , State of U. P. vs Manbodhan Lal Srivastava, [1958] S.C.R. 533 and Montreal Street Railway Company v Noymandin, L.R. ; , referred to. Subject to the overriding power of the President or the Governor under article 310, as qualified by article 311, rules governing disciplinary proceeding could not be treated as administrative directions, but had the same effect as the provisions of the statute whereunder they were made, in so far as they were not inconsistent with the provisions thereof. The Governor did not exercise his pleasure through the officers specified in section 7 of the Police Act, and the Governor 's pleasure. could not be equated with the statutory power of the officers specified An inquiry under the Act had to be made in accordance with the provisions of the Act and the rules made thereunder. R. T. Rangachari vs Secretary of State for India, L.R. 64 I.A. 40, High Commissioner for India and High Commissioner for Pakistan vs I. M. Lall, (1948) L.R. 75 I.A. 225, R. Venkata Rao vs Secretary of State for India, (1936) L.R. 64 I.A. 55, section A. Venkataraman V. Union of India, [1954] S.C.R. 1150 and Khem Chand vs The Union of India, [1958] S.C.R. 1080, referred to. Per Gajendragadkar and Wanchoo, JJ. The provisions of para 486 were merely directory and a non compliance therewith did not invalidate the disciplinary action taken against the respondent. All public servants, other than those excepted expressly by the Constitution, held office during the pleasure of the President or the Governor, and no law or rule framed under article 300 or article I54(2)(b) could cut down the content of the pleasure tenure in article 310 subject to article 31i. The Police Act could not stand higher than a law passed under article 309 or article 154(2)(b) and could not cut down the content of the pleasure tenure in article 310 682 The Police officers held office during the pleasure of the Governor and the only protection they could claim was the two guarantees contained in article 311. The rules framed under section 7 Police Act would be of two kinds, namely (1) those which defined the jurisdiction of the four grades of officers specified in section 7 to inflict particular kind of punishment on particular police officers of the subordinate ranks such rules would be mandatory but they could not go against the provisions of article 311, and (2) procedural rules. The procedural rules could be of two kinds: (i) those that prescribed the manner in which the guarantee contained in article 311(2) May be carried out such rules would be mandatory, and (ii) other merely procedural rules they could only be directory. The power of the Governor to dismiss was executive power of the State and could be exercised under article 154(i) by the Governor himself directly or indirectly through officers subordinate to him. The officers specified in section 7 of the Police Act were exercising the powers of the Governor to dismiss at pleasure and their powers were subject to the same limitations to which the Governor was subject. Whether it was delegation by the Governor himself or whether it was delegation by law under article 154(2)(b) or by the existing law, which must be treated as analogous to a law under article 154(2)(b), the officer exercising the power of dismissal was only indirectly exercising the Governor 's power to dismiss at pleasure. His order also was subject to the two fetters under article 311 and could not be subjected to any more fetters by procedural rules other than those framed for carrying out the objects of article 311(2). R. Venkata Rao vs Secretary of State for India in Council, [1936] 64 I.A. 55, referred to. Paragraph 486 was not meant for the purpose of carrying out the object of article 311(2) and could not be mandatory and could not add a further fetter on the exercise of the power to dismiss at the pleasure of the Governor over and above the fetters contained in article 311. This rule was only meant to gather materials for the satisfaction of the authority concerned, whether to take action or not. As such para 486 was merely directory and a failure to comply therewith strictly or otherwise did not vitiate the disciplinary action.",,1959,
